------------------------ Caltech3x3 f32
Ucr256, f32, amm bolt noenc        , N D M C:,  1000, 320, 256,  2, (5x10):,  0.4770, (5.3669e+08/s),  0.4770, (5.3669e+08/s),  0.4780, (5.3556e+08/s),  0.4780, (5.3556e+08/s),  0.4780, (5.3556e+08/s)
Ucr256, f32, amm bolt              , N D M C:,  1000, 320, 256,  4, (5x10):,  0.5510, (4.6461e+08/s),  0.5490, (4.6630e+08/s),  0.5490, (4.6630e+08/s),  0.5600, (4.5714e+08/s),  0.5500, (4.6545e+08/s)
Ucr256, f32, amm bolt noenc        , N D M C:,  1000, 320, 256,  4, (5x10):,  0.4500, (5.6889e+08/s),  0.4510, (5.6763e+08/s),  0.4510, (5.6763e+08/s),  0.4510, (5.6763e+08/s),  0.4510, (5.6763e+08/s)
Ucr256, f32, amm bolt              , N D M C:,  1000, 320, 256,  8, (5x10):,  0.5170, (4.9516e+08/s),  0.5170, (4.9516e+08/s),  0.5290, (4.8393e+08/s),  0.5080, (5.0394e+08/s),  0.5090, (5.0295e+08/s)
Ucr256, f32, amm bolt noenc        , N D M C:,  1000, 320, 256,  8, (5x10):,  0.4220, (6.0664e+08/s),  0.4240, (6.0377e+08/s),  0.4160, (6.1538e+08/s),  0.4300, (5.9535e+08/s),  0.4300, (5.9535e+08/s)
Ucr256, f32, amm bolt              , N D M C:,  1000, 320, 256, 16, (5x10):,  0.5510, (4.6461e+08/s),  0.5510, (4.6461e+08/s),  0.5510, (4.6461e+08/s),  0.5550, (4.6126e+08/s),  0.5370, (4.7672e+08/s)
Ucr256, f32, amm bolt noenc        , N D M C:,  1000, 320, 256, 16, (5x10):,  0.4420, (5.7919e+08/s),  0.4600, (5.5652e+08/s),  0.4620, (5.5411e+08/s),  0.4620, (5.5411e+08/s),  0.4620, (5.5411e+08/s)
Ucr256, f32, amm bolt              , N D M C:,  1000, 320, 256, 32, (5x10):,  0.6170, (4.1491e+08/s),  0.6100, (4.1967e+08/s),  0.6100, (4.1967e+08/s),  0.6040, (4.2384e+08/s),  0.6010, (4.2596e+08/s)
Ucr256, f32, amm bolt noenc        , N D M C:,  1000, 320, 256, 32, (5x10):,  0.5040, (5.0794e+08/s),  0.5040, (5.0794e+08/s),  0.5040, (5.0794e+08/s),  0.5040, (5.0794e+08/s),  0.5040, (5.0794e+08/s)
Ucr256, f32, amm bolt              , N D M C:,  1000, 320, 256, 64, (5x10):,  0.8250, (3.1030e+08/s),  0.8360, (3.0622e+08/s),  0.8360, (3.0622e+08/s),  0.8400, (3.0476e+08/s),  0.8470, (3.0224e+08/s)
Ucr256, f32, amm bolt noenc        , N D M C:,  1000, 320, 256, 64, (5x10):,  0.7230, (3.5408e+08/s),  0.7230, (3.5408e+08/s),  0.7230, (3.5408e+08/s),  0.7230, (3.5408e+08/s),  0.7240, (3.5359e+08/s)
