mithral encode i16    , N D C B:,   16384, 512,  16,  8,    (5x10):,  0.0970, (2.7025e+09/s),  0.0960, (2.7307e+09/s),  0.0960, (2.7307e+09/s),  0.0960, (2.7307e+09/s),  0.0960, (2.7307e+09/s)
bolt encode           , N D C B:,   16384, 512,  16,  8,    (5x10):, 10.9260, (2.3993e+07/s), 11.0290, (2.3769e+07/s), 11.0240, (2.3779e+07/s), 10.9580, (2.3923e+07/s), 11.0210, (2.3786e+07/s)
pq encode             , N D C B:,   16384, 512,   8,  8,    (5x10):, 232.1600, (1.1292e+06/s), 233.3710, (1.1233e+06/s), 233.6650, (1.1219e+06/s), 232.8860, (1.1256e+06/s), 232.1710, (1.1291e+06/s)
opq encode            , N D C B:,   16384, 512,   8,  8,    (5x10):, 419.7050, (6.2459e+05/s), 418.8630, (6.2585e+05/s), 419.7960, (6.2446e+05/s), 420.4520, (6.2348e+05/s), 420.4390, (6.2350e+05/s)
mithral encode f32    , N D C B:,   16384, 512,  32, 16,    (5x10):,  0.2880, (1.8204e+09/s),  0.2820, (1.8592e+09/s),  0.2830, (1.8526e+09/s),  0.2880, (1.8204e+09/s),  0.3050, (1.7190e+09/s)
mithral encode i8     , N D C B:,   16384, 512,  32, 16,    (5x10):,  0.2130, (2.4614e+09/s),  0.1990, (2.6346e+09/s),  0.1970, (2.6614e+09/s),  0.1960, (2.6749e+09/s),  0.1890, (2.7740e+09/s)
mithral encode i16    , N D C B:,   16384, 512,  32, 16,    (5x10):,  0.2070, (2.5328e+09/s),  0.2070, (2.5328e+09/s),  0.2080, (2.5206e+09/s),  0.2120, (2.4731e+09/s),  0.2120, (2.4731e+09/s)
bolt encode           , N D C B:,   16384, 512,  32, 16,    (5x10):, 11.4600, (4.5749e+07/s), 11.4890, (4.5634e+07/s), 11.3460, (4.6209e+07/s), 11.4850, (4.5650e+07/s), 11.2630, (4.6550e+07/s)
pq encode             , N D C B:,   16384, 512,  16, 16,    (5x10):, 245.9170, (2.1320e+06/s), 247.1260, (2.1215e+06/s), 245.7000, (2.1339e+06/s), 247.7510, (2.1162e+06/s), 248.1640, (2.1127e+06/s)
opq encode            , N D C B:,   16384, 512,  16, 16,    (5x10):, 432.0800, (1.2134e+06/s), 432.6980, (1.2117e+06/s), 433.5310, (1.2093e+06/s), 435.8710, (1.2029e+06/s), 434.1340, (1.2077e+06/s)
