D,M,N,__pyience_timestamp__,acc_amm,acc_orig,alpha,bias,canCheat,corr,cossim,d,lut_work_const,method,muls,ncentroids,ncodebooks,nlookups,nnz,normalized_mse,problem,r,raw_mse,s,secs,sparsity,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2020-01-05T14_37_56,0.1,0.9359,,,,0.2434447258710861,0.24328893423080444,1.0,,FastJL,916442.0,,,,,0.9971297383308412,,,13.49337100982666,,0.05093931799638085,,CIFAR-10 Softmax,8,0.045806057751178735,3.67861557006836,-0.00023195655376184726,0.023167576640844345
512,10,10000,2020-01-05T14_37_56,0.1,0.9359,,,,0.1839459240436554,0.1843300461769104,1.0,,FastJL,916442.0,,,,,0.9961509704589844,,,13.48012638092041,,0.04553985199891032,,CIFAR-10 Softmax,9,0.045806057751178735,3.67861557006836,0.0021398141980171204,0.04114612564444542
512,10,10000,2020-01-05T14_37_57,0.1,0.9359,,,,0.21395578980445865,0.20949167013168327,2.0,,FastJL,1827764.0,,,,,0.9938976168632508,,,13.449633598327635,,0.08828878801432437,,CIFAR-10 Softmax,0,0.045806057751178735,3.67861557006836,-0.008757648058235645,0.05637044459581375
512,10,10000,2020-01-05T14_37_57,0.1,0.9359,,,,0.4193687140941621,0.41940400004386896,2.0,,FastJL,1827764.0,,,,,0.9892744421958924,,,13.38707160949707,,0.11808319398551248,,CIFAR-10 Softmax,1,0.045806057751178735,3.67861557006836,0.00029455419280566275,0.04847369343042374
512,10,10000,2020-01-05T14_37_57,0.1,0.9359,,,,0.2685554325580597,0.2686980068683624,2.0,,FastJL,1827764.0,,,,,0.9927858114242554,,,13.434588432312012,,0.07339538101223297,,CIFAR-10 Softmax,2,0.045806057751178735,3.67861557006836,0.0008199996664188802,0.05179055407643318
512,10,10000,2020-01-05T14_37_57,0.1,0.9359,,,,0.3484117090702057,0.348324716091156,2.0,,FastJL,1827764.0,,,,,0.9891547560691832,,,13.385452270507812,,0.05888482899172232,,CIFAR-10 Softmax,3,0.045806057751178735,3.67861557006836,-0.0002689171233214438,0.05945996567606926
512,10,10000,2020-01-05T14_37_57,0.1,0.9359,,,,0.20530833303928367,0.20426905155181885,2.0,,FastJL,1827764.0,,,,,0.9967619776725768,,,13.488394737243652,,0.05810979098896496,,CIFAR-10 Softmax,4,0.045806057751178735,3.67861557006836,0.005503391847014427,0.030706331133842468
512,10,10000,2020-01-05T14_37_57,0.1,0.9359,,,,0.2562688589096069,0.2563157081604004,2.0,,FastJL,1827764.0,,,,,0.9931390881538392,,,13.439369201660154,,0.05876287800492719,,CIFAR-10 Softmax,5,0.045806057751178735,3.67861557006836,0.004724775906652212,0.0515463761985302
512,10,10000,2020-01-05T14_37_57,0.1,0.9359,,,,0.3466009795665741,0.346314400434494,2.0,,FastJL,1827764.0,,,,,0.990053415298462,,,13.397612571716307,,0.04858339499332942,,CIFAR-10 Softmax,6,0.045806057751178735,3.67861557006836,-0.0009256600169464946,0.05481785535812378
512,10,10000,2020-01-05T14_37_57,0.1,0.9359,,,,0.34476280212402344,0.3442714512348175,2.0,,FastJL,1827764.0,,,,,0.9927954673767092,,,13.43471908569336,,0.048281335999490686,,CIFAR-10 Softmax,7,0.045806057751178735,3.67861557006836,-0.0010833729756996038,0.03993121162056923
512,10,10000,2020-01-05T14_37_57,0.1,0.9359,,,,0.27246570587158203,0.2727288007736206,2.0,,FastJL,1827764.0,,,,,0.9939790964126588,,,13.450736045837402,,0.06716908799717203,,CIFAR-10 Softmax,8,0.045806057751178735,3.67861557006836,0.0019105098908767106,0.0425066240131855
512,10,10000,2020-01-05T14_37_57,0.1,0.9359,,,,0.2969359755516052,0.29564204812049866,2.0,,FastJL,1827764.0,,,,,0.9933553338050842,,,13.44229507446289,,0.06097762499121018,,CIFAR-10 Softmax,9,0.045806057751178735,3.67861557006836,-0.002573514124378562,0.04307996854186058
512,10,10000,2020-01-05T14_37_58,0.1,0.9359,,,,0.5225435495376587,0.5225540995597839,4.0,,FastJL,3650408.0,,,,,0.982083022594452,,,13.289755821228027,,0.10809406198677607,,CIFAR-10 Softmax,0,0.045806057751178735,3.67861557006836,0.0002928463509306312,0.06469318270683289
