D,M,N,__pyience_timestamp__,bias,corr,cossim,d,method,muls,ncodebooks,nlookups,normalized_mse,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_std
75,1,48400,2019-12-31T22_49_10,-230.80845642089844,0.1366027593612671,0.7410212755203247,,Bolt,58080000,16.0,774400.0,3.6344149112701416,83953.7578125,0.002037776983343065,Caltech 15 (ibis),0,168.9759521484375,151.98573303222656,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-46.19983291625977,0.06769252568483353,0.908071219921112,,Bolt,58080000,16.0,774400.0,1.6882280111312866,30169.884765625,0.002157490001991391,Caltech 16 (ibis),0,353.5845947265625,133.68148803710938,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-96.10010528564452,-0.326873391866684,0.8167967796325684,,Bolt,58080000,16.0,774400.0,2.331162929534912,57254.078125,0.0020600970601663,Caltech 17 (ibis),0,303.684326171875,156.71728515625,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-53.95758438110352,-0.11765606701374055,0.8600914478302002,,Bolt,58080000,16.0,774400.0,1.73759126663208,45385.4609375,0.002087172004394233,Caltech 18 (ibis),0,345.82684326171875,161.61607360839844,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-91.95622253417969,-0.08157680183649063,0.930075466632843,,Bolt,58080000,16.0,774400.0,4.729325771331787,27897.021484375,0.0020290000829845667,Caltech 19 (ibis),0,307.8282165527344,76.8031997680664,110.2747573852539
75,1,48400,2019-12-31T22_50_04,3.4937102794647217,0.9989234209060668,0.9999024868011476,,Bolt,58080000,32.0,1548800.0,0.0029185789171606307,46.50065994262695,1.2826932630268857,Caltech 0 (helicopter),0,407.1923522949219,126.22455596923828,126.11414337158205
75,1,48400,2019-12-31T22_50_04,7.2483277320861825,0.12172781676054,0.9292104244232178,,Bolt,58080000,32.0,1548800.0,1.9483932256698608,25558.544921875,0.007734716054983438,Caltech 1 (helicopter),0,410.9469909667969,114.53276824951172,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-3.887897729873657,0.5115445852279663,0.9393918514251708,,Bolt,58080000,32.0,1548800.0,0.7974894046783447,22329.73828125,0.0047426900127902644,Caltech 2 (helicopter),0,399.8107299804688,167.33213806152344,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-83.48753356933594,-0.3314118087291717,0.8733741044998169,,Bolt,58080000,32.0,1548800.0,3.7549939155578613,43431.13671875,0.004991465946659446,Caltech 3 (helicopter),0,320.2111511230469,107.54642486572266,126.11414337158205
75,1,48400,2019-12-31T22_50_04,87.74603271484375,0.3823091983795166,0.922549605369568,,Bolt,58080000,32.0,1548800.0,1.076202392578125,47437.59765625,0.004680444020777941,Caltech 4 (helicopter),0,491.4447021484375,209.9492645263672,126.11414337158205
75,1,48400,2019-12-31T22_50_04,183.97772216796875,0.474165141582489,0.9289411902427672,,Bolt,58080000,32.0,1548800.0,1.2639765739440918,87529.4765625,0.004504355951212346,Caltech 5 (helicopter),0,587.6764526367188,263.152587890625,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-121.43476104736328,0.2806357145309448,0.9388946294784546,,Bolt,58080000,32.0,1548800.0,4.526827335357666,31734.953125,0.00519113801419735,Caltech 6 (helicopter),0,282.263916015625,83.72824096679688,126.11414337158205
75,1,48400,2019-12-31T22_50_04,109.12762451171876,0.2332164943218231,0.9096977114677428,,Bolt,58080000,32.0,1548800.0,1.3508446216583252,59540.2578125,0.0057337990729138255,Caltech 7 (helicopter),0,512.8262939453125,209.9436187744141,126.11414337158205
75,1,48400,2019-12-31T22_50_04,33.06613540649414,0.3219602704048157,0.87302166223526,,Bolt,58080000,32.0,1548800.0,0.94332093000412,61116.94140625,0.004792561987414956,Caltech 8 (helicopter),0,436.7648010253906,254.5370941162109,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-164.6948699951172,-0.03267013281583786,0.8097609877586365,,Bolt,58080000,32.0,1548800.0,3.080307722091675,65492.359375,0.00466532609425485,Caltech 9 (helicopter),0,239.0037841796875,145.8136749267578,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-78.50607299804688,0.14914879202842712,0.8952997326850891,,Bolt,58080000,32.0,1548800.0,1.8736870288848884,36124.1875,0.005195482051931322,Caltech 10 (ibis),0,325.1925964355469,138.85148620605472,126.11414337158205
75,1,48400,2019-12-31T22_50_04,111.11107635498048,-0.03397698700428009,0.910535216331482,,Bolt,58080000,32.0,1548800.0,2.2153241634368896,53933.08203125,0.005021709017455578,Caltech 11 (ibis),0,514.8097534179689,156.03030395507812,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-75.5511245727539,0.03365189954638481,0.8047735691070557,,Bolt,58080000,32.0,1548800.0,1.43140971660614,65678.109375,0.004368459922261536,Caltech 12 (ibis),0,328.1475524902344,214.20437622070312,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-175.4711151123047,-0.2870667278766632,0.6523903012275696,,Bolt,58080000,32.0,1548800.0,2.460522413253784,103709.5234375,0.004571236902847886,Caltech 13 (ibis),0,228.2275695800781,205.30316162109366,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-207.5894012451172,0.13990992307662964,0.8556069731712341,,Bolt,58080000,32.0,1548800.0,5.6976261138916025,66918.6875,0.004813942010514438,Caltech 14 (ibis),0,196.1092529296875,108.37440490722656,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-234.7227020263672,0.14725664258003235,0.7390378713607788,,Bolt,58080000,32.0,1548800.0,3.829237461090088,88454.09375,0.004482691991142929,Caltech 15 (ibis),0,168.9759521484375,151.98573303222656,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-50.11408233642578,0.062491703778505325,0.8994175791740417,,Bolt,58080000,32.0,1548800.0,1.9126139879226685,34179.828125,0.005678132991306486,Caltech 16 (ibis),0,353.5845947265625,133.68148803710938,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-100.01435089111328,-0.34983471035957336,0.8003837466239929,,Bolt,58080000,32.0,1548800.0,2.617898941040039,64296.3984375,0.005587878986261785,Caltech 17 (ibis),0,303.684326171875,156.71728515625,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-57.87182998657226,-0.1327022910118103,0.8479852676391602,,Bolt,58080000,32.0,1548800.0,1.9442439079284668,50783.17578125,0.004579083994030953,Caltech 18 (ibis),0,345.82684326171875,161.61607360839844,126.11414337158205
75,1,48400,2019-12-31T22_50_04,-95.87046813964844,-0.094072625041008,0.9193270206451416,,Bolt,58080000,32.0,1548800.0,5.5634026527404785,32817.01953125,0.004691255977377296,Caltech 19 (ibis),0,307.8282165527344,76.8031997680664,126.11414337158205
75,1,48400,2019-12-31T23_14_28,1.585224986076355,0.08432194590568542,0.8182847499847412,,Bolt,58080000,16.0,774400.0,1.5050549507141109,46070.57421875,0.0020888710860162973,Caltech 5 (Faces_easy),0,318.6288757324219,174.958740234375,139.95329284667972
75,1,48400,2019-12-31T23_14_28,117.93315887451172,0.19293034076690674,0.8715870380401611,,Bolt,58080000,16.0,774400.0,1.6746689081192017,58161.265625,0.002139403019100428,Caltech 6 (Faces_easy),0,434.976806640625,186.3598937988281,139.95329284667972
75,1,48400,2019-12-31T23_14_28,79.01275634765625,0.13595867156982422,0.8419009447097778,,Bolt,58080000,16.0,774400.0,1.4595211744308472,57954.5703125,0.00206963496748358,Caltech 7 (Faces_easy),0,396.056396484375,199.26849365234366,139.95329284667972
75,1,48400,2019-12-31T23_14_28,67.34033966064453,-0.0971248596906662,0.8303906917572021,,Bolt,58080000,16.0,774400.0,2.125429391860962,53717.08984375,0.0022300309501588345,Caltech 8 (Faces_easy),0,384.3840026855469,158.9764862060547,139.95329284667972
75,1,48400,2019-12-31T23_14_28,101.4644012451172,0.10474665462970734,0.8470970392227173,,Bolt,58080000,16.0,774400.0,1.635454177856445,62191.69921875,0.002663285005837679,Caltech 9 (Faces_easy),0,418.508056640625,195.0055694580078,139.95329284667972
