------------------------ Caltech3x3 i8
---- ncodebooks=2
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2, 16,  2.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2, 16,  4.0, (5x10):,  0.3680, (2.6800e+08/s),  0.3610, (2.7320e+08/s),  0.3600, (2.7396e+08/s),  0.3590, (2.7472e+08/s),  0.3580, (2.7549e+08/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2, 16,  4.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
---- ncodebooks=32
Caltech3x3, i8 , amm mithral nolut     , N D M C lut_work_coef:, 49284,  27,   2, 32, -1.0, (5x10):,  0.6820, (1.4461e+08/s),  0.6810, (1.4482e+08/s),  0.6830, (1.4440e+08/s),  0.6930, (1.4231e+08/s),  0.6740, (1.4633e+08/s)
Caltech3x3, i8 , amm mithral denselut  , N D M C lut_work_coef:, 49284,  27,   2, 32, -1.0, (5x10):,  0.7530, (1.3097e+08/s),  0.7480, (1.3185e+08/s),  0.7200, (1.3698e+08/s),  0.7190, (1.3717e+08/s),  0.7250, (1.3603e+08/s)
Caltech3x3, i8 , mithral lut dense     , N D M C lut_work_coef:, 49284,  27,   2, 32, -1.0, (5x10):,  0.0020, (4.9312e+10/s),  0.0020, (4.9312e+10/s),  0.0020, (4.9312e+10/s),  0.0020, (4.9312e+10/s),  0.0020, (4.9312e+10/s)
Caltech3x3, i8 , amm mithral enc       , N D M C lut_work_coef:, 49284,  27,   2, 32, -1.0, (5x10):,  0.6340, (1.5556e+08/s),  0.6280, (1.5704e+08/s),  0.6370, (1.5483e+08/s),  0.6510, (1.5150e+08/s),  0.6340, (1.5556e+08/s)
Caltech3x3, i8 , amm mithral scan      , N D M C lut_work_coef:, 49284,  27,   2, 32, -1.0, (5x10):,  0.0410, (2.4055e+09/s),  0.0410, (2.4055e+09/s),  0.0410, (2.4055e+09/s),  0.0410, (2.4055e+09/s),  0.0410, (2.4055e+09/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2, 32,  1.0, (5x10):,  0.7360, (1.3400e+08/s),  0.7390, (1.3346e+08/s),  0.7360, (1.3400e+08/s),  0.7190, (1.3717e+08/s),  0.7410, (1.3310e+08/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2, 32,  1.0, (5x10):,  0.0010, (9.8624e+10/s),  0.0010, (9.8624e+10/s),  0.0010, (9.8624e+10/s),  0.0010, (9.8624e+10/s),  0.0010, (9.8624e+10/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2, 32,  2.0, (5x10):,  0.7500, (1.3150e+08/s),  0.7330, (1.3455e+08/s),  0.7330, (1.3455e+08/s),  0.7220, (1.3660e+08/s),  0.7340, (1.3437e+08/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2, 32,  2.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2, 32,  4.0, (5x10):,  0.7450, (1.3238e+08/s),  0.7410, (1.3310e+08/s),  0.7450, (1.3238e+08/s),  0.7290, (1.3529e+08/s),  0.7310, (1.3492e+08/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2, 32,  4.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
---- ncodebooks=64
Caltech3x3, i8 , amm mithral nolut     , N D M C lut_work_coef:, 49284,  27,   2, 64, -1.0, (5x10):,  1.4240, (6.9258e+07/s),  1.4140, (6.9748e+07/s),  1.4130, (6.9798e+07/s),  1.4380, (6.8584e+07/s),  1.4470, (6.8158e+07/s)
Caltech3x3, i8 , amm mithral denselut  , N D M C lut_work_coef:, 49284,  27,   2, 64, -1.0, (5x10):,  1.5530, (6.3505e+07/s),  1.4750, (6.6864e+07/s),  1.5100, (6.5314e+07/s),  1.4950, (6.5969e+07/s),  1.4820, (6.6548e+07/s)
Caltech3x3, i8 , mithral lut dense     , N D M C lut_work_coef:, 49284,  27,   2, 64, -1.0, (5x10):,  0.0030, (3.2875e+10/s),  0.0040, (2.4656e+10/s),  0.0030, (3.2875e+10/s),  0.0040, (2.4656e+10/s),  0.0040, (2.4656e+10/s)
Caltech3x3, i8 , amm mithral enc       , N D M C lut_work_coef:, 49284,  27,   2, 64, -1.0, (5x10):,  1.3050, (7.5574e+07/s),  1.3390, (7.3655e+07/s),  1.3100, (7.5285e+07/s),  1.3140, (7.5056e+07/s),  1.3390, (7.3655e+07/s)
Caltech3x3, i8 , amm mithral scan      , N D M C lut_work_coef:, 49284,  27,   2, 64, -1.0, (5x10):,  0.0870, (1.1336e+09/s),  0.0850, (1.1603e+09/s),  0.0840, (1.1741e+09/s),  0.0880, (1.1207e+09/s),  0.0890, (1.1081e+09/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2, 64,  1.0, (5x10):,  1.5050, (6.5531e+07/s),  1.5440, (6.3876e+07/s),  1.5100, (6.5314e+07/s),  1.5300, (6.4460e+07/s),  1.4840, (6.6458e+07/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2, 64,  1.0, (5x10):,  0.0040, (2.4656e+10/s),  0.0030, (3.2875e+10/s),  0.0030, (3.2875e+10/s),  0.0030, (3.2875e+10/s),  0.0030, (3.2875e+10/s)
